Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
"NT SERVICE"" UAB",Lituanie,Kaunas,http://ntservice.eu/,https://www.linkedin.com/company/nt-service-uab,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=cf3d3710-c581-4669-b7f4-cd900c5dc6ce,Hall 5a / K221,Bureau d'ingénierie,Counter-UAV,Homeland security; UAV / drones; Electronic warfare; Logistics / MRO; Engineering services,UAV / drones; Robotics / UGV; Communications networks; Energy / batteries; Counter-UAV systems,Maintenance / MRO; Engineering / consulting,Maintenance / MRO; Engineering / consulting,5G / wireless; RF / microwave; Robotics / autonomy; Cloud,Land forces; Special forces; Police / law enforcement; Critical infrastructure,Europe; Asia,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Electronic components; RF / microwave components; Cybersecurity solutions; Materials (Li-ion, electrolytes); Mechanical parts; Radars; RF / microwave; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",75.0,A,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.","Hi — I noticed NT SERVICE"" UAB builds UAV / drones, Robotics / UGV (+3) for Counter-UAV.","Their counter-UAV stack relies on RF, radar, optronics and embedded systems — exactly what we supply. Talk to procurement / chief engineer.",Contact sales team and qualify need,New,,,High
2H ENERGY,France,FECAMP,http://www.2henergy.fr/,https://www.linkedin.com/company/8532886,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=000c0158-7b2a-4bcf-957e-7bc2bfdb9714,Hall 4 / G325,OEM,Radar / sensors,Land defense; Naval defense; Logistics / MRO; Engineering services; Dual-use technology,Vehicles; Radars; Software / Platforms; Logistics equipment; Energy / batteries,Sub-systems / Components; Training; Certification / testing,Training; Certification / testing,GNSS / GPS,Land forces; Navy; Border / customs,France,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Materials; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",74.5,B,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed 2H ENERGY builds Vehicles, Radars (+3) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Review website and validate opportunity,New,,,High
2oneLab,Allemagne,DARMSTADT,http://www.2onelab.com/,https://www.linkedin.com/company/2onelab-gmbh/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=6ed6d2ca-c753-4b93-bf72-5fd22ec1be2c,Hall 5b / AB249,OEM,Soldier systems,Logistics / MRO,Software / Platforms; Logistics equipment; Engines / propulsion; Soldier equipment,Sub-systems / Components,,Cloud; Lidar / Laser; Composites; Additive manufacturing; Computer vision,,Germany; United Kingdom; Africa,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Mechanical parts; Materials; Communications networks; Materials (high temperature alloys); Embedded systems; Composite materials; Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",70.5,B,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.","Hi — 2oneLab ships Software / Platforms, Logistics equipment (+2) to defense customers.",2oneLab sells to forces — they need certified materials and ergonomic sub-systems.,Review website and validate opportunity,New,,,High
3M Svenska AB,Suède,VARNAMO,http://www.3m.com/,,,Hall 5a / K319,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
4 Flutes Machining,États-Unis,Vicksburg,https://www.4flutesmachining.com/,,,Hall 5a / D282,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
4C Strategies,Royaume-Uni,LONDON,http://www.4cstrategies.com/,https://www.linkedin.com/company/4c-strategies,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4934609b-d78b-446f-ace2-a7b833d15e99,Hall 5a / GH255,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed 4C Strategies at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
4D CONCEPT,France,MONTIGNY LE BRETONNEUX,http://www.4dconcept.fr/,https://www.linkedin.com/company/4dconcept/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4129f857-c7c6-4a27-af0a-425b09b8f1e6,Hall 5b / B147,Distributeur,Radar / sensors,Logistics / MRO; Engineering services; Export / distribution,Logistics equipment; Sensors; Software / Platforms,Finished products; Sub-systems / Components; Training; Engineering / consulting; Distribution / agency,Training; Engineering / consulting; Distribution / agency,Cloud,,Europe; France,Fournisseur potentiel,Mechanical parts,"Materials; Communications networks; Electronic components; Embedded systems; Composite materials; Cloud / data services; Cybersecurity solutions; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",76.0,A,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed 4D CONCEPT builds Logistics equipment, Sensors (+1) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Contact sales team and qualify need,New,,,High
4iG Space and Defence Technologies Plc.,Hongrie,BUDAPEST,https://4igsdt.hu/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=a0b73240-70e2-423c-a63b-d8b045f6cd37,Hall 5a / G409,OEM,UAV / drones,Space / satellite,UAV / drones; Satellites / Space,,,,,,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Launch services; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",51.4,C,Sub-system / payload pour OEM drones tactiques.,Hi — 4iG Space and Defence Technologies Plc.,UAV programs are scaling — 4iG Space and Defence Technologies Plc. is buying. Position [your sub-system] as a qualified alternative on their next platform.,Keep in watchlist,New,,,Medium
4M Tactical,République tchèque,Praha - Břevnov,https://4msystems.cz/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=9d8d9274-e096-4f3f-ad78-220bfdb87075,Hall 5a / K285,OEM,Soldier systems,Homeland security; Intelligence / ISR; Optics / optronics,Optronics / Optics; Soldier equipment; Ballistic protection,,,,Police / law enforcement,,Acheteur potentiel,Electronic components,"Composite materials; Mechanical parts; Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Certification / testing; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",59.8,C,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Soldier equipment.","Hi — 4M Tactical ships Optronics / Optics, Soldier equipment (+1) to Police / law enforcement.",4M Tactical sells to forces — they need certified materials and ergonomic sub-systems.,Keep in watchlist,New,,,Medium
4Security Tecnologia da Informação,Brésil,PINHAIS - PR,https://www.4secglobal.com/,https://www.linkedin.com/company/4SecGlobal,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=800a15dd-b3cd-4e22-9c9e-bf1d77258a02,Hall 5b / C100,OEM,Other,,Communications networks; Software / Platforms,Sub-systems / Components; Finished products,,Cloud,,,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Cloud / data services; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",46.6,C,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.","Hi — 4Security Tecnologia da Informação ships Communications networks, Software / Platforms to defense customers.",Qualify the activity before pitching.,Keep in watchlist,New,,,Medium
