Account Name,Website,Country/Region,City,LinkedIn URL,Lead Source,Lead Rating,Status,Topic,Description,Industry,Segment,Owner,Next Step,Notes
"NT SERVICE"" UAB",http://ntservice.eu/,Lituanie,Kaunas,https://www.linkedin.com/company/nt-service-uab,Eurosatory 2026 Catalog,A,New,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.","“NT Service” UAB produces and delivers RF disruption systems that immediately disrupt hostile UAV/UAS control, navigation, and video links. Our solutions pro...",Counter-UAV,Homeland security; UAV / drones,,Contact sales team and qualify need,
2H ENERGY,http://www.2henergy.fr/,France,FECAMP,https://www.linkedin.com/company/8532886,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","2H Energy provides armed forces with reliable, modular energy solutions for all environments. Portable, containerized, or onboard generators, electrotechnica...",Radar / sensors,Land defense; Naval defense,,Review website and validate opportunity,
2oneLab,http://www.2onelab.com/,Allemagne,DARMSTADT,https://www.linkedin.com/company/2onelab-gmbh/,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.",2onelab offers innovative metal 3D printing solutions that can be deployed directly on-site. Our technology enables digital files to be quickly and precisely...,Soldier systems,Logistics / MRO,,Review website and validate opportunity,
3M Svenska AB,http://www.3m.com/,Suède,VARNAMO,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
4 Flutes Machining,https://www.4flutesmachining.com/,États-Unis,Vicksburg,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
4C Strategies,http://www.4cstrategies.com/,Royaume-Uni,LONDON,https://www.linkedin.com/company/4c-strategies,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
4D CONCEPT,http://www.4dconcept.fr/,France,MONTIGNY LE BRETONNEUX,https://www.linkedin.com/company/4dconcept/,Eurosatory 2026 Catalog,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",4D CONCEPT is a French software company specialising in engineering document management solutions. We offer a range of innovative products: ADAM Suite for co...,Radar / sensors,Logistics / MRO; Engineering services,,Contact sales team and qualify need,
4iG Space and Defence Technologies Plc.,https://4igsdt.hu/,Hongrie,BUDAPEST,,Eurosatory 2026 Catalog,C,New,Sub-system / payload pour OEM drones tactiques.,"4iG Space and Defence Technologies is Hungary’s first privately-owned large enterprise delivering cutting-edge solutions in space and defence technologies. With the expertise of the 4iG Group and our portfolio companies, we are committed to…",UAV / drones,Space / satellite,,Keep in watchlist,
4M Tactical,https://4msystems.cz/,République tchèque,Praha - Břevnov,,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Soldier equipment.",4M Tactical,Soldier systems,Homeland security; Intelligence / ISR,,Keep in watchlist,
4Security Tecnologia da Informação,https://www.4secglobal.com/,Brésil,PINHAIS - PR,https://www.linkedin.com/company/4SecGlobal,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.","Construímos soluções especializadas, intuitivas e amigáveis. Desenvolvemos pesquisa no que há de mais inovador para o mercado de inteligência e defesa, combate à corrupção, fraude e crimes financeiros.",Other,,,Keep in watchlist,
5.0 ROBOTICS,http://www.50robotics.com/,Estonie,TALLINN,https://linkedin.com/company/50robotics,Eurosatory 2026 Catalog,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","At 5.0 ROBOTICS develops compact robotic manufacturing systems integrating precision CNC, industrial robotics, and automated digital workflows. The platform ...",UAV / drones,Electronic warfare; Logistics / MRO,,Contact sales team and qualify need,
"7STARLACK CO., LTD.",http://7starlake.com/,Taïwan,NEW TAIPEI CITY,https://www.linkedin.com/company/7starlake/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"7STARLAKE is a leading provider of rugged computing solutions for mission-critical applications. With extensive experience in high-performance computing, we ...",Other,,,No immediate action,
8Devices,http://8devices.com/,Lituanie,Vilnius,https://lt.linkedin.com/company/8devices,Eurosatory 2026 Catalog,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","8devices is a European developer and manufacturer of high-performance connectivity and edge processing solutions for UAVs, robotics, and autonomous systems. ...",UAV / drones,Cybersecurity; Electronic warfare,,Contact sales team and qualify need,
A.C.S.A. STEEL FORGINGS,http://acsa.it/en/,Italie,OGGIONA CON SANTO STEFANO,https://www.linkedin.com/company/a-c-s-a-steel-forgings-s-p-a/mycompany/?viewAsMember=true,Eurosatory 2026 Catalog,C,New,Activité à qualifier — discovery call avant pitch précis.,A.C.S.A. Steel Forgings is an Italian excellence specialized in the production of closed-die hot steel forgings end extruded parts since 1935. We do serve a ...,Other,,,Keep in watchlist,
A2V SAS,https://a2v.fr/,France,VENDOME,https://www.linkedin.com/company/a2v/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Société d'ingénierie et d'étude mécatronique capable de développement et de réalisations électroniques et mécaniques autour des produits qu'elle distribue.,Intelligence / ISR,UAV / drones; Radar / sensors,,Contact sales team and qualify need,
AADS,http://www.aads-gib.com/,Gibraltar,GIBRALTAR,https://www.linkedin.com/company/africaautomotivedistributionservices,Eurosatory 2026 Catalog,D,New,Canal de distribution / représentation pour notre portefeuille.,AADS is part of an International Automotive Group of companies with 95 years of experience in the automotive industry. AADS is a special distributor for Ste...,Export / distribution,,,No immediate action,
AAE - Advanced Armour Engineering,http://www.armoureng.com/,Émirats arabes unis,SHARJAH,https://www.linkedin.com/company/advanced-armour-engineering/,Eurosatory 2026 Catalog,B,New,"Sous-systèmes, composites, certification pour primes terrestres.","At AAE, we specialise in delivering cutting-edge engineering and contract manufacturing solutions for the defence and security sectors. Our commitment to ""Ma...",Land defense,Naval defense; Homeland security,,Review website and validate opportunity,
Aage Christensen Defence,,Danemark,København C,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Aalberts Surface Technologies,https://www.aalberts-st.com/,France,VILLERS-COTTERÊTS,https://www.linkedin.com/company/aalberts-surface-treatment-gmbh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BZyHZAJL6R%2Be0Vv03w7BGTg%3D%3D,Eurosatory 2026 Catalog,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Aalberts ST ✓ Leading global service provider for improving material characteristics ✓ Regional & global customers ▶ Learn more.,Electronic warfare,Armored vehicles; Soldier systems,,Contact sales team and qualify need,
Aalborg University,,Danemark,Aalborg East,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Aaronia AG,http://www.aaronia.de/,Allemagne,STRICKSCHEID,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Aaronia AG is an internationally-renowned measuring, tracking and monitoring technology company. The company offers a wide range of products and services, in...",Other,,,No immediate action,
AART ELECTRONICS,https://www.aart-electronics.com/,France,CROISSY-SUR-SEINE,,Eurosatory 2026 Catalog,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Page d'accueil Fondée en 2004, la société AART ELECTRONICS est spécialisée dans la centralisation et l’externalisation des achats du Ministère de la Défense",Armored vehicles,Land defense; Homeland security,,Review website and validate opportunity,
AB Giraites Ginkluotes Gamykla (GGG),http://www.ggg-ammo.lt/,Lituanie,Giraitė,https://www.linkedin.com/company/ab-giraites-ginkluotes-gamykla/,Eurosatory 2026 Catalog,B,New,"Matériaux énergétiques, mécanique, packaging, certification.","GGG operates the longest indoor shooting range in Europe, extending up to 580 metres. The facility is designed to test ballistic ammunition to ensure the hig...",Ammunition,,,Review website and validate opportunity,
ABIMDE,https://abimde.org.br/pt-br/,Brésil,SAO PAULO,https://www.linkedin.com/company/abimde/?originalSubdomain=br,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Login Fale Conosco Feiras & Eventos Notícias Institucional Abimde Conecta Busque na Abimde,Other,,,No immediate action,
ABMI,http://abmi-groupe.com/,France,NANTERRE,https://www.linkedin.com/company/abmi-engineering/,Eurosatory 2026 Catalog,B,New,"Outils CAD, simulation, certification pour bureau d'études.","For over 40 years, ABMI has been providing its specialist engineering expertise to major industrial sectors. We support our clients in bringing their techni...",Engineering services,,,Review website and validate opportunity,
ABRIS Design Group,https://abris-dg.com/,Pologne,WARSZAWA,https://www.linkedin.com/company/abrisdesigngroup/posts/?feedView=all,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ABRIS DG manufactures military-grade unmanned systems for tactical operations. We supply battle-proven ISR UAVs, loitering munitions, and heavy-lift UGVs for precision strike and logistics.",Intelligence / ISR,Land defense; Air defense,,Contact sales team and qualify need,
