Company name,Website URL,Country,City,LinkedIn,Industry,Type,Lead score,Lead rating,Lifecycle stage,Buying need,Notes,Pitch,Next step,Owner
"NT SERVICE"" UAB",http://ntservice.eu/,Lituanie,Kaunas,https://www.linkedin.com/company/nt-service-uab,Counter-UAV,Bureau d'ingénierie,75.0,A,New,Energy / batteries,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.","Hi — I noticed NT SERVICE"" UAB builds UAV / drones, Robotics / UGV (+3) for Counter-UAV.",Contact sales team and qualify need,
2H ENERGY,http://www.2henergy.fr/,France,FECAMP,https://www.linkedin.com/company/8532886,Radar / sensors,OEM,74.5,B,New,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed 2H ENERGY builds Vehicles, Radars (+3) for Radar / sensors.",Review website and validate opportunity,
2oneLab,http://www.2onelab.com/,Allemagne,DARMSTADT,https://www.linkedin.com/company/2onelab-gmbh/,Soldier systems,OEM,70.5,B,New,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.","Hi — 2oneLab ships Software / Platforms, Logistics equipment (+2) to defense customers.",Review website and validate opportunity,
3M Svenska AB,http://www.3m.com/,Suède,VARNAMO,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
4 Flutes Machining,https://www.4flutesmachining.com/,États-Unis,Vicksburg,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
4C Strategies,http://www.4cstrategies.com/,Royaume-Uni,LONDON,https://www.linkedin.com/company/4c-strategies,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed 4C Strategies at Eurosatory.,No immediate action,
4D CONCEPT,http://www.4dconcept.fr/,France,MONTIGNY LE BRETONNEUX,https://www.linkedin.com/company/4dconcept/,Radar / sensors,Distributeur,76.0,A,New,Mechanical parts,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed 4D CONCEPT builds Logistics equipment, Sensors (+1) for Radar / sensors.",Contact sales team and qualify need,
4iG Space and Defence Technologies Plc.,https://4igsdt.hu/,Hongrie,BUDAPEST,,UAV / drones,OEM,51.4,C,New,Energy / batteries,Sub-system / payload pour OEM drones tactiques.,Hi — 4iG Space and Defence Technologies Plc.,Keep in watchlist,
4M Tactical,https://4msystems.cz/,République tchèque,Praha - Břevnov,,Soldier systems,OEM,59.8,C,New,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Soldier equipment.","Hi — 4M Tactical ships Optronics / Optics, Soldier equipment (+1) to Police / law enforcement.",Keep in watchlist,
4Security Tecnologia da Informação,https://www.4secglobal.com/,Brésil,PINHAIS - PR,https://www.linkedin.com/company/4SecGlobal,Other,OEM,46.6,C,New,RF / microwave components,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.","Hi — 4Security Tecnologia da Informação ships Communications networks, Software / Platforms to defense customers.",Keep in watchlist,
5.0 ROBOTICS,http://www.50robotics.com/,Estonie,TALLINN,https://linkedin.com/company/50robotics,UAV / drones,OEM,80.5,A,New,Engines / propulsion,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed 5.0 ROBOTICS builds Vehicles, UAV / drones (+8) for UAV / drones.",Contact sales team and qualify need,
"7STARLACK CO., LTD.",http://7starlake.com/,Taïwan,NEW TAIPEI CITY,https://www.linkedin.com/company/7starlake/,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Hi — I noticed 7STARLACK CO., LTD.",No immediate action,
