account_name,country,priority_level,lead_score,target_type,buying_need_main,ideal_seller_profile,recommended_sales_angle,short_pitch,website_url,linkedin_company_url,lead_status,next_best_action,notes
"NT SERVICE"" UAB",Lituanie,A,75.0,Acheteur potentiel,Energy / batteries,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.","Their counter-UAV stack relies on RF, radar, optronics and embedded systems — exactly what we supply. Talk to procurement / chief engineer.","Hi — I noticed NT SERVICE"" UAB builds UAV / drones, Robotics / UGV (+3) for Counter-UAV.",http://ntservice.eu/,https://www.linkedin.com/company/nt-service-uab,New,Contact sales team and qualify need,
2H ENERGY,France,B,74.5,Acheteur potentiel,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed 2H ENERGY builds Vehicles, Radars (+3) for Radar / sensors.",http://www.2henergy.fr/,https://www.linkedin.com/company/8532886,New,Review website and validate opportunity,
2oneLab,Allemagne,B,70.5,Acheteur potentiel,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.",2oneLab sells to forces — they need certified materials and ergonomic sub-systems.,"Hi — 2oneLab ships Software / Platforms, Logistics equipment (+2) to defense customers.",http://www.2onelab.com/,https://www.linkedin.com/company/2onelab-gmbh/,New,Review website and validate opportunity,
3M Svenska AB,Suède,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.3m.com/,,New,No immediate action,
4 Flutes Machining,États-Unis,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.4flutesmachining.com/,,New,No immediate action,
4C Strategies,Royaume-Uni,D,17.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed 4C Strategies at Eurosatory.,http://www.4cstrategies.com/,https://www.linkedin.com/company/4c-strategies,New,No immediate action,
4D CONCEPT,France,A,76.0,Fournisseur potentiel,Mechanical parts,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed 4D CONCEPT builds Logistics equipment, Sensors (+1) for Radar / sensors.",http://www.4dconcept.fr/,https://www.linkedin.com/company/4dconcept/,New,Contact sales team and qualify need,
4iG Space and Defence Technologies Plc.,Hongrie,C,51.4,Acheteur potentiel,Energy / batteries,Sub-system / payload pour OEM drones tactiques.,UAV programs are scaling — 4iG Space and Defence Technologies Plc. is buying. Position [your sub-system] as a qualified alternative on their next platform.,Hi — 4iG Space and Defence Technologies Plc.,https://4igsdt.hu/,,New,Keep in watchlist,
4M Tactical,République tchèque,C,59.8,Acheteur potentiel,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Soldier equipment.",4M Tactical sells to forces — they need certified materials and ergonomic sub-systems.,"Hi — 4M Tactical ships Optronics / Optics, Soldier equipment (+1) to Police / law enforcement.",https://4msystems.cz/,,New,Keep in watchlist,
4Security Tecnologia da Informação,Brésil,C,46.6,Acheteur potentiel,RF / microwave components,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.",Qualify the activity before pitching.,"Hi — 4Security Tecnologia da Informação ships Communications networks, Software / Platforms to defense customers.",https://www.4secglobal.com/,https://www.linkedin.com/company/4SecGlobal,New,Keep in watchlist,
5.0 ROBOTICS,Estonie,A,80.5,Acheteur potentiel,Engines / propulsion,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed 5.0 ROBOTICS builds Vehicles, UAV / drones (+8) for UAV / drones.",http://www.50robotics.com/,https://linkedin.com/company/50robotics,New,Contact sales team and qualify need,
"7STARLACK CO., LTD.",Taïwan,D,17.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.","Hi — I noticed 7STARLACK CO., LTD.",http://7starlake.com/,https://www.linkedin.com/company/7starlake/,New,No immediate action,
