Name,Website,BillingCountry,BillingCity,LinkedIn__c,Industry,Type,Lead_Score__c,Lead_Rating__c,Status,Description,Next_Step__c,Buying_Need_Main__c,Lead_Source__c
"NT SERVICE"" UAB",http://ntservice.eu/,Lituanie,Kaunas,https://www.linkedin.com/company/nt-service-uab,Counter-UAV,Bureau d'ingénierie,75.0,A,New,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
2H ENERGY,http://www.2henergy.fr/,France,FECAMP,https://www.linkedin.com/company/8532886,Radar / sensors,OEM,74.5,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
2oneLab,http://www.2onelab.com/,Allemagne,DARMSTADT,https://www.linkedin.com/company/2onelab-gmbh/,Soldier systems,OEM,70.5,B,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
3M Svenska AB,http://www.3m.com/,Suède,VARNAMO,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
4 Flutes Machining,https://www.4flutesmachining.com/,États-Unis,Vicksburg,,Other,À vérifier,15.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
4C Strategies,http://www.4cstrategies.com/,Royaume-Uni,LONDON,https://www.linkedin.com/company/4c-strategies,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
4D CONCEPT,http://www.4dconcept.fr/,France,MONTIGNY LE BRETONNEUX,https://www.linkedin.com/company/4dconcept/,Radar / sensors,Distributeur,76.0,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Contact sales team and qualify need,Mechanical parts,Eurosatory 2026 Catalog
4iG Space and Defence Technologies Plc.,https://4igsdt.hu/,Hongrie,BUDAPEST,,UAV / drones,OEM,51.4,C,New,Sub-system / payload pour OEM drones tactiques.,Keep in watchlist,Energy / batteries,Eurosatory 2026 Catalog
4M Tactical,https://4msystems.cz/,République tchèque,Praha - Břevnov,,Soldier systems,OEM,59.8,C,New,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Soldier equipment.",Keep in watchlist,Electronic components,Eurosatory 2026 Catalog
4Security Tecnologia da Informação,https://www.4secglobal.com/,Brésil,PINHAIS - PR,https://www.linkedin.com/company/4SecGlobal,Other,OEM,46.6,C,New,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.",Keep in watchlist,RF / microwave components,Eurosatory 2026 Catalog
5.0 ROBOTICS,http://www.50robotics.com/,Estonie,TALLINN,https://linkedin.com/company/50robotics,UAV / drones,OEM,80.5,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
"7STARLACK CO., LTD.",http://7starlake.com/,Taïwan,NEW TAIPEI CITY,https://www.linkedin.com/company/7starlake/,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
8Devices,http://8devices.com/,Lituanie,Vilnius,https://lt.linkedin.com/company/8devices,UAV / drones,Bureau d'ingénierie,78.0,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
A.C.S.A. STEEL FORGINGS,http://acsa.it/en/,Italie,OGGIONA CON SANTO STEFANO,https://www.linkedin.com/company/a-c-s-a-steel-forgings-s-p-a/mycompany/?viewAsMember=true,Other,Sous-traitant industriel,57.9,C,New,Activité à qualifier — discovery call avant pitch précis.,Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
A2V SAS,https://a2v.fr/,France,VENDOME,https://www.linkedin.com/company/a2v/,Intelligence / ISR,OEM,77.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
AADS,http://www.aads-gib.com/,Gibraltar,GIBRALTAR,https://www.linkedin.com/company/africaautomotivedistributionservices,Export / distribution,Distributeur,37.6,D,New,Canal de distribution / représentation pour notre portefeuille.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
AAE - Advanced Armour Engineering,http://www.armoureng.com/,Émirats arabes unis,SHARJAH,https://www.linkedin.com/company/advanced-armour-engineering/,Land defense,OEM,72.0,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Aage Christensen Defence,,Danemark,København C,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Aalberts Surface Technologies,https://www.aalberts-st.com/,France,VILLERS-COTTERÊTS,https://www.linkedin.com/company/aalberts-surface-treatment-gmbh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BZyHZAJL6R%2Be0Vv03w7BGTg%3D%3D,Electronic warfare,OEM,80.5,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Aalborg University,,Danemark,Aalborg East,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Aaronia AG,http://www.aaronia.de/,Allemagne,STRICKSCHEID,,Other,À vérifier,18.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
AART ELECTRONICS,https://www.aart-electronics.com/,France,CROISSY-SUR-SEINE,,Armored vehicles,OEM,66.4,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AB Giraites Ginkluotes Gamykla (GGG),http://www.ggg-ammo.lt/,Lituanie,Giraitė,https://www.linkedin.com/company/ab-giraites-ginkluotes-gamykla/,Ammunition,OEM,68.4,B,New,"Matériaux énergétiques, mécanique, packaging, certification.",Review website and validate opportunity,Energetic materials,Eurosatory 2026 Catalog
ABIMDE,https://abimde.org.br/pt-br/,Brésil,SAO PAULO,https://www.linkedin.com/company/abimde/?originalSubdomain=br,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ABMI,http://abmi-groupe.com/,France,NANTERRE,https://www.linkedin.com/company/abmi-engineering/,Engineering services,OEM,66.4,B,New,"Outils CAD, simulation, certification pour bureau d'études.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
ABRIS Design Group,https://abris-dg.com/,Pologne,WARSZAWA,https://www.linkedin.com/company/abrisdesigngroup/posts/?feedView=all,Intelligence / ISR,OEM,75.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Accurate Nordic,http://www.accuratenordic.com/,Suède,Kista,,Other,À vérifier,19.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ACCURISION GMBH,,Autriche,LUSTENAU,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ACCUWATT TECHNOLOGIES,https://www.accuwatt-technologies.com/,France,AITON,https://www.linkedin.com/company/accuwatt-technologies-france,UAV / drones,OEM,72.0,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
ACGB – OTS,https://www.acgb.com/,France,BAVENT,https://www.linkedin.com/company/635770/,Radar / sensors,OEM,70.5,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
ACOME GROUP,http://www.acome.com/fr,France,LANNION,https://www.linkedin.com/company/acome/,Intelligence / ISR,OEM,76.5,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,RF / microwave components,Eurosatory 2026 Catalog
