exhibitor_id,company_name,country,website,pavilion,activity_1liner,products,services,target_buyers,technologies,why_target,completeness_score,data_source_strength
1,"NT SERVICE"" UAB",Lithuania,http://ntservice.eu/,,"“NT Service” UAB produces and delivers RF disruption systems that immediately disrupt hostile UAV/UAS control, navigation, and video links.",drones tactiques ISR · stations de contrôle au sol · modules charge utile drones,MCO / MRO · ingénierie / conseil,"MoD / Armées, Sécurité civile, Export / international",vol autonome · RF / micro-ondes · matériaux composites,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion militaires et liaisons de données chiffrées — compétiteur indirect sur drones tactiques.",100,high
2,2H ENERGY,France,http://www.2henergy.fr/,,Conçoit et fabrique des solutions énergétiques modulaires pour les forces armées.,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,formation · certification / tests,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,high
3,2oneLab,Germany,http://www.2onelab.com/,,Conçoit des solutions d'impression 3D métal directement déployables sur site.,machines de fabrication additive · plateformes FA métal · logiciels d'industrialisation FA · matières premières poudres métalliques,,"Primes défense, Industriels défense, Export / international, MoD / Armées",fabrication additive · matériaux composites,Compétiteur sur les machines FA — partenaire pour primes cherchant à industrialiser l'impression 3D métal pour pièces de rechange critiques.,100,medium
4,3M Svenska AB,Sweden,http://www.3m.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
5,4 Flutes Machining,USA,https://www.4flutesmachining.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
6,4C Strategies,United-Kingdom,http://www.4cstrategies.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
7,4D CONCEPT,France,http://www.4dconcept.fr/,,A French software company specialising in engineering document management solutions.,,formation · ingénierie / conseil · distribution / représentation,,cloud,Prestataire potentiel de formation pour des programmes défense/sécurité — à qualifier en discovery call.,65,medium
8,4iG Space and Defence Technologies Plc.,Hungary,https://4igsdt.hu/,,Conçoit et exploite des systèmes satellitaires pour la défense et les communications gouvernementales.,,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
9,4M Tactical,Czech Republic,https://4msystems.cz/,,"Conçoit et fabrique des systèmes optroniques, équipement du fantassin, protection balistique pour forces de sécurité.",systèmes optroniques · équipement du fantassin · protection balistique,,Sécurité civile,imagerie thermique · optique de précision · textiles techniques tactiques · matériaux composites balistiques,"Acheteur potentiel de détecteurs IR, cryocoolers, optique de précision pour ses lignes optronique — également compétiteur sur le segment optronique.",100,high
10,4Security Tecnologia da Informação,Brazil,https://www.4secglobal.com/,,"Conçoit et fabrique des réseaux de communication militaires, infrastructure RF durcie, stations de commandement.",réseaux de communication militaires · infrastructure RF durcie · stations de commandement · réseaux de communication · logiciels métier défense · plateformes de gestion opérationnelle · modules d'analyse de données,,,cloud,À qualifier — données publiques insuffisantes pour trancher.,75,medium
11,5.0 ROBOTICS,Estonia,http://www.50robotics.com/,,Conçoit des systèmes robotiques de fabrication pour l'industrie défense et l'aéronautique.,,distribution / représentation · intégration de systèmes,"Primes défense, Sécurité civile",cloud · matériaux composites · fabrication additive · robotique / autonomie · Lidar / Laser,Prestataire potentiel de distribution / représentation pour primes défense — partenaire pour les marchés publics et industriels associés.,80,high
12,"7STARLACK CO., LTD.",Taiwan,http://7starlake.com/,,7STARLAKE is a leading provider of rugged computing solutions for mission-critical applications.,,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
13,8Devices,Lithuania,http://8devices.com/,,"Conçoit des solutions de connectivité et edge computing pour drones, robots et systèmes autonomes.",,certification / tests · ingénierie / conseil · intégration de systèmes,"Sécurité civile, Export / international",5G / sans-fil · RF / micro-ondes · cryptographie · robotique / autonomie,Prestataire potentiel de certification / tests pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
14,A.C.S.A. STEEL FORGINGS,Italy,http://acsa.it/en/,,"Forge à chaud des pièces en acier pour la défense, l'aéronautique et l'industrie.",pièces forgées en acier · produits forgés titane · ensembles forgés aéronautiques,formation,"Primes défense, Industriels défense, Export / international",métallurgie spéciale · forgeage de précision,"Sous-traitant Tier-1 forgeage pour primes véhicules blindés (KMW, Rheinmetall) et aéronautique (turbines, paliers).",100,medium
15,A2V SAS,France,https://a2v.fr/,,Société d'ingénierie et d'étude mécatronique capable de développement et de réalisations électroniques et mécaniques autour des produits…,,ingénierie / conseil · certification / tests · formation · sous-traitance,Sécurité civile,robotique / autonomie · Lidar / Laser · simulation,Prestataire potentiel de ingénierie / conseil pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
16,AADS,Gibraltar,http://www.aads-gib.com/,,Part of an International Automotive Group of companies with 95 years of experience in the automotive industry.,,distribution / représentation,,,Prestataire potentiel de distribution / représentation pour des programmes défense/sécurité — à qualifier en discovery call.,50,medium
17,AAE - Advanced Armour Engineering,United Arab Emirates,http://www.armoureng.com/,,Fournit des services d'ingénierie et de fabrication contractuelle pour la défense et la sécurité.,,sous-traitance · certification / tests · distribution / représentation,"Primes défense, Sécurité civile",Lidar / Laser · simulation,Prestataire potentiel de sous-traitance pour primes défense — partenaire pour les marchés publics et industriels associés.,80,high
18,Aage Christensen Defence,Denmark,,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
19,Aalberts Surface Technologies,France,https://www.aalberts-st.com/,,Aalberts ST ✓ Leading global service provider for improving material characteristics ✓ Regional & global customers ▶ Learn more.,plateforme cybersécurité OT · outils d'audit ICS / SCADA,ingénierie / conseil · formation,"Sécurité civile, MoD / Armées, Industriels défense, Primes défense",cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,high
20,Aalborg University,Denmark,,,Conduit de la recherche et de la formation en sciences appliquées et ingénierie de défense.,formation d'ingénieurs défense · recherche académique appliquée · thèses CIFRE · projets collaboratifs EDF / Horizon Europe,,"MoD / Armées, Industriels défense",,Université ou école — partenaire R&D sur projets EDF / Horizon Europe et formation des futurs cadres défense.,70,very_low
21,Aaronia AG,Germany,http://www.aaronia.de/,,"An internationally-renowned measuring, tracking and monitoring technology company.",,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
22,AART ELECTRONICS,France,https://www.aart-electronics.com/,,Pilote la défense nationale et conduit les achats militaires publics.,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,MCO / MRO,"MoD / Armées, Export / international, Sécurité civile",,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,high
23,AB Giraites Ginkluotes Gamykla (GGG),Lithuania,http://www.ggg-ammo.lt/,,Conçoit et fabrique des munitions et matériels énergétiques pour les armées.,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,ingénierie / conseil,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,medium
24,ABIMDE,Brazil,https://abimde.org.br/pt-br/,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,,"Industriels défense, Export / international",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,low
25,ABMI,France,http://abmi-groupe.com/,,"For over 40 years, ABMI has been providing its specialist engineering expertise to major industrial sectors.",,ingénierie / conseil · certification / tests,,,Prestataire potentiel de ingénierie / conseil pour des programmes défense/sécurité — à qualifier en discovery call.,50,medium
26,ABRIS Design Group,Poland,https://abris-dg.com/,,"Conçoit et fabrique des drones tactiques (ISR, munitions rôdeuses, frappe de précision).",drones FPV de combat · munitions rôdeuses tactiques · stations de contrôle,intégration de systèmes,"MoD / Armées, Export / international, Primes défense, Sécurité civile",vol autonome · IA / vision,Compétiteur de niche sur drones FPV battle-proven (Ukraine) — partenaire pour intégrateurs de drones à grande échelle.,100,high
27,Accurate Nordic,Sweden,http://www.accuratenordic.com/,,Accurate Nordic’s mission has always been to deliver the optimal solution for every customer.,,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
28,ACCURISION GMBH,Austria,,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
29,ACCUWATT TECHNOLOGIES,France,https://www.accuwatt-technologies.com/,,"15 années d’expérience dans le stockage d’énergie en environnement difficile, ACCUWATT Technologies se positionne dans la batterie Lithiu…",drones aériens · capteurs embarqués · radios tactiques · robots terrestres (UGV) · batteries / sources d'énergie,ingénierie / conseil · certification / tests,MoD / Armées,vol autonome · RF / micro-ondes · capteurs IoT industriels · radios tactiques,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,high
30,ACGB – OTS,France,https://www.acgb.com/,,"Manufacturer of tailor-made, innovative & intelligent alumnium tanks.",,certification / tests · intégration de systèmes,Primes défense,,Prestataire potentiel de certification / tests pour primes défense — partenaire pour les marchés publics et industriels associés.,65,medium
31,ACOME GROUP,France,http://www.acome.com/fr,,"An international industrial group, innovative and recognized in high-tech cabling systems, tubes and accessories for telecommunications…",,ingénierie / conseil,MoD / Armées,RF / micro-ondes · 5G / sans-fil · robotique / autonomie · edge computing,Prestataire potentiel de ingénierie / conseil pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,medium
32,ACS Armoured Car Systems,Germany,http://www.acs-armoured-cars.com/,,Conçoit et fabrique des solutions de blindage et protection balistique.,plaques balistiques · panneaux blindés composites · boucliers tactiques,,"MoD / Armées, Sécurité civile, Primes défense, Export / international",matériaux composites balistiques,Compétiteur direct sur blindage composite — fournisseur potentiel pour primes véhicules blindés.,100,medium
33,Actemium Bonnétage Automation (AC Automation),France,http://acautomation.fr/,,Actemium Bonnétage Automation | Actemium Bonnétage Automation - Machines spéciales d'assemblage et de contrôle pour l'industrie | 🎃 🎃 🎃 🎃…,,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
34,Actemium Maintenance Auxerre,France,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,,Actemium Maintenance Auxerre | 215 followers on LinkedIn.,,formation · ingénierie / conseil,Export / international,simulation · edge computing · cloud · robotique / autonomie · big data / analyse,Prestataire potentiel de formation pour export / international — partenaire pour les marchés publics et industriels associés.,80,medium
