exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
1,"NT SERVICE"" UAB",Lithuania,http://ntservice.eu/,,"“NT Service” UAB produces and delivers RF disruption systems that immediately disrupt hostile UAV/UAS control, navigation, and video links.",OEM,drones tactiques ISR · stations de contrôle au sol · modules charge utile drones,Drones aériens (UAV) · Systèmes anti-drone (C-UAS) · Composants électroniques & cartes · Véhicules tactiques (non blindés),MCO / MRO · ingénierie / conseil,MCO / MRO · Ingénierie & conseil,"MoD / Armées, Sécurité civile, Export / international",vol autonome · RF / micro-ondes · matériaux composites,Robotique & autonomie · Vol autonome & GPS-denied · Communications RF / micro-ondes · Matériaux composites,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion militaires et liaisons de données chiffrées — compétiteur indirect sur drones tactiques.",100,high
2,2H ENERGY,France,http://www.2henergy.fr/,,Conçoit et fabrique des solutions énergétiques modulaires pour les forces armées.,Tier 1,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,Groupes électrogènes & énergie tactique · Batteries & packs énergétiques,formation · certification / tests,Formation & entraînement · Certification & tests,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,Autre — à qualifier,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,high
3,2oneLab,Germany,http://www.2onelab.com/,,Conçoit des solutions d'impression 3D métal directement déployables sur site.,Tier 3,machines de fabrication additive · plateformes FA métal · logiciels d'industrialisation FA · matières premières poudres métalliques,Pièces mécaniques & usinage,,,"Primes défense, Industriels défense, Export / international, MoD / Armées",fabrication additive · matériaux composites,Fabrication additive · Matériaux composites,Compétiteur sur les machines FA — partenaire pour primes cherchant à industrialiser l'impression 3D métal pour pièces de rechange critiques.,100,medium
4,3M Svenska AB,Sweden,http://www.3m.com/,,"Fabrique des matériaux techniques, adhésifs, films optiques et équipements de protection pour la défense et l'industrie.",OEM,adhésifs structuraux aérospatiaux · films optiques et de protection · protections auditives Peltor · masques et filtres NRBC · abrasifs et rubans techniques · matériaux composites de protection,"Équipement du fantassin (général) · NRBC (masques, tenues, détecteurs) · Matériaux composites & blindage · Fixations & visserie aéronautique",distribution et représentation · sous-traitance industrielle,Distribution & représentation · Sous-traitance industrielle,"Primes défense, Industriels défense, MoD / Armées, Export / international",matériaux composites · optique multicouche · adhésifs structuraux · filtration NRBC,Matériaux composites · Optique de précision · Filtration NRBC,"Fournisseur Tier-1 de matériaux, adhésifs et protections individuelles (Peltor) — porte d'entrée chez 3M pour intégrateurs défense scandinaves.",85,manual
5,4 Flutes Machining,USA,https://www.4flutesmachining.com/,,"Sous-traite l'usinage CNC de précision pour l'aéronautique, la défense et les industries critiques aux États-Unis.",Tier 3,pièces usinées CNC complexes · ensembles aluminium aéronautiques,Pièces mécaniques & usinage,usinage CNC 3-5 axes · ingénierie d'application · certifications AS9100,Ingénierie & conseil · Certification & tests,"Industriels défense, Primes défense",usinage 5 axes · métrologie 3D,Autre — à qualifier,Sous-traitant US éligible AS9100 pour les programmes nécessitant pièces série courte — partenaire potentiel d'industrialisation outre-Atlantique.,65,manual
6,4C Strategies,United-Kingdom,http://www.4cstrategies.com/,,Édite des plateformes logicielles de gestion de crise et d'exercices C2 pour les armées et les agences gouvernementales.,Tier 1,plateforme Exonaut (gestion d'exercices) · outils de retour d'expérience opérationnel · modules planification de crise,Logiciels de simulation & cyber range · Logiciels métier défense (autres),conseil gestion de crise · intégration C2 · formation,Ingénierie & conseil · Intégration de systèmes · Formation & entraînement,"MoD / Armées, Sécurité civile, Export / international",cloud souverain · simulation · cybersécurité,Cloud & cloud souverain · Navigation inertielle · Simulation & VR/AR · Cybersécurité,Acheteur potentiel d'infrastructure cloud souveraine et de capteurs de données opérationnelles — partenaire pour intégrer Exonaut dans des chaînes C4ISR plus larges.,85,manual
7,4D CONCEPT,France,http://www.4dconcept.fr/,,A French software company specialising in engineering document management solutions.,Tier 1,,Logiciels métier défense (autres),formation · ingénierie / conseil · distribution / représentation,Formation & entraînement · Ingénierie & conseil · Distribution & représentation,,cloud,Cloud & cloud souverain,Prestataire potentiel de formation pour des programmes défense/sécurité — à qualifier en discovery call.,65,medium
8,4iG Space and Defence Technologies Plc.,Hungary,https://4igsdt.hu/,,"Intègre des systèmes spatiaux, drones tactiques, contre-drones et solutions géospatiales pour la défense hongroise.",OEM,satellites d'observation · drones tactiques · systèmes contre-drones (C-UAV) · plateformes géospatiales · stations de mission satellite,Satellites & CubeSats · Drones aériens (UAV) · Systèmes anti-drone (C-UAS) · Terminaux & antennes spatiales,exploitation de mission satellite · intégration systèmes spatiaux · analyse géospatiale,Intégration de systèmes,"MoD / Armées, Export / international",imagerie satellite · IA / vision · RF jamming · GNSS multi-fréquences,IA / machine learning · Communications RF / micro-ondes · Guerre électronique (EW) · GNSS / navigation satellite,"Intégrateur national hongrois — porte d'entrée pour fournisseurs de capteurs satellite, sous-systèmes drones et briques C-UAV sur le marché Europe centrale.",100,manual
9,4M Tactical,Czech Republic,https://4msystems.cz/,,"Conçoit et fabrique des systèmes optroniques, équipement du fantassin, protection balistique pour forces de sécurité.",OEM,systèmes optroniques · équipement du fantassin · protection balistique,Optronique & viseurs (EO/IR) · Équipement du fantassin (général) · Gilets & plaques pare-balles,,,Sécurité civile,imagerie thermique · optique de précision · textiles techniques tactiques · matériaux composites balistiques,Imagerie infrarouge · Optique de précision · Matériaux composites,"Acheteur potentiel de détecteurs IR, cryocoolers, optique de précision pour ses lignes optronique — également compétiteur sur le segment optronique.",100,high
10,4Security Tecnologia da Informação,Brazil,https://www.4secglobal.com/,,"Conçoit et fabrique des réseaux de communication militaires, infrastructure RF durcie, stations de commandement.",Tier 1,réseaux de communication militaires · infrastructure RF durcie · stations de commandement · réseaux de communication · logiciels métier défense · plateformes de gestion opérationnelle · modules d'analyse de données,Antennes & infrastructures RF · Systèmes C2 & C4ISR · Réseaux militaires (5G/P-LTE/MANET) · Logiciels métier défense (autres),,,,cloud,Cloud & cloud souverain,À qualifier — données publiques insuffisantes pour trancher.,75,medium
